EVA_NR;DS100;IFOPT;NAME;Longitude;Latitude;Betreiber_Name
8000103;AF;de:01001:27253;Flensburg;9,436526;54,774039;DB Station und Service AG
8000104;FFRK;de:06635:205326;Frankenberg(Eder);8,789181;51,054565;DB RegioNetz Infrastruktur GmbH
8000105;FF;de:06412:10;Frankfurt(Main)Hbf;8,663789;50,107145;DB Station und Service AG
8000106;FHOE;de:06412:1008;Frankfurt-Höchst;8,54237;50,102634;DB Station und Service AG
8000107;RF;de:08311:6508;Freiburg(Breisgau) Hbf;7,84117;47,997697;DB Station und Service AG
8000108;MFL;de:09172:42293;Freilassing;12,977193;47,836916;DB Station und Service AG
8000110;TFS;de:08237:1050;Freudenstadt Hbf;8,428803;48,460322;DB Station und Service AG
8000111;FFG;de:06440:6401;Friedberg(Hess);8,762056;50,332606;DB Station und Service AG
8000112;TF;de:08435:44002;Friedrichshafen Stadt;9,4739;47,653224;DB Station und Service AG
8000113;EFOE;de:05978:32759;Fröndenberg;7,762198;51,471254;DB Station und Service AG
8000114;NF;de:09563:2110;Fürth(Bay)Hbf;10,989988;49,469707;DB Station und Service AG
8000115;FFU;de:06631:11049;Fulda;9,683977;50,554723;DB Station und Service AG
8000116;MTS;de:09189:41179;Traunstein;12,638801;47,869727;DB Station und Service AG
8000117;FGEL;de:06435:11058;Gelnhausen;9,189278;50,196343;DB Station und Service AG
8000118;EG;de:05513:5613;Gelsenkirchen Hbf;7,102455;51,504903;DB Station und Service AG
8000119;MGE;de:09181:502;Geltendorf;11,0374552;48,1059912;DB Station und Service AG
8000120;NGM;de:09677:28001;Gemünden(Main);9,699894;50,050018;DB Station und Service AG
8000121;FGHO;de:07339:8190;Gensingen-Horrweiler;7,938188;49,89826;DB Station und Service AG
8000122;MTL;de:09577:16200;Treuchtlingen;10,908159;48,961267;DB Station und Service AG
8000123;SGR;de:07233:30303;Gerolstein;6,660372;50,224006;DB Station und Service AG
8000124;FG;de:06531:11016;Gießen;8,661462;50,579059;DB Station und Service AG
8000125;EGBW;de:05562:3202;Gladbeck West;6,976389;51,574922;DB Station und Service AG
8000126;FGE;de:06433:6802;Riedstadt-Goddelau;8,489187;49,83323;DB Station und Service AG
8000127;TGO;de:08117:154;Göppingen;9,651969;48,700027;DB Station und Service AG
8000128;HG;de:03152:33817;Göttingen;9,926072;51,536815;DB Station und Service AG
8000129;FTS;de:06634:204662;Treysa;9,185673;50,910661;DB Station und Service AG
8000130;HGS;de:03153:5982;Goslar;10,421436;51,911573;DB Station und Service AG
8000131;RGN;de:08215:32585;Graben-Neudorf;8,49063;49,161797;DB Station und Service AG
8000132;FGR;de:06434:6308;Grävenwiesbach;8,458553;50,382239;Hessische Landesbahn Basis
8000133;KGRB;de:05162:20001;Grevenbroich;6,580447;51,093701;DB Station und Service AG
8000134;STR;de:07211:1318;Trier Hbf;6,652453;49,756846;DB Station und Service AG
8000135;KT;de:05382:54701;Troisdorf;7,150892;50,813922;DB Station und Service AG
8000136;FGER;de:06433:4802;Groß Gerau;8,486215;49,924934;DB Station und Service AG
8000137;RGR;de:07332:1009;Grünstadt;8,167962;49,564384;DB Station und Service AG
8000138;KGUA,KGUI;de:05158:13970;Haan-Gruiten;7,010546;51,214559;DB Station und Service AG
8000139;MGZB;de:09774:2600;Günzburg;10,2792621;48,4605626;DB Station und Service AG
8000140;FGTH;de:06633:203095;Baunatal-Guntershausen;9,466997;51,229917;DB Station und Service AG
8000141;TT;de:08416:11000;Tübingen Hbf;9,055407;48,515811;DB Station und Service AG
8000142;EHG;de:05914:2007;Hagen Hbf;7,460249;51,362747;DB Station und Service AG
8000143;RWGA;de:08336:6700;Weil am Rhein-Gartenstadt;7,616284;47,588707;DB Station und Service AG
8000144;MTHB;de:09778:3200;Türkheim(Bay)Bf;10,617439;48,04569;DB Station und Service AG
8000145;EHLT;de:05562:3527;Haltern am See;7,184366;51,737668;DB Station und Service AG
8000146;RWPF;de:08336:6706;Weil am Rhein-Pfädlistraße;7,626493;47,589015;DB Station und Service AG
8000147;AHAR;de:02000:8000147;Hamburg-Harburg;9,991701;53,455908;DB Station und Service AG
8000148;HHM;de:03252:8000;Hameln;9,375906;52,10185;DB Station und Service AG
8000149;EHM;de:05915:7756;Hamm(Westf);7,807821;51,678078;DB Station und Service AG
8000150;FH,FH  N,FH  S;de:06435:4503;Hanau Hbf;8,929;50,120953;DB Station und Service AG
8000152;HH;de:03241:31;Hannover Hbf;9,741021;52,376761;DB Station und Service AG
8000154;STM;de:10046:8000154;Türkismühle;7,114615;49,580358;DB Station und Service AG
8000155;AHI;de:01051:39654;Heide(Holst);9,101029;54,193563;DB Station und Service AG
8000156;RH;de:08221:1160;Heidelberg Hbf;8,675442;49,403567;DB Station und Service AG
8000157;TH;de:08121:26;Heilbronn Hbf;9,207715;49,143306;DB Station und Service AG
8000158;FHWD,FHWR;de:06435:4544;Nidderau;8,880233;50,230826;DB Station und Service AG
8000159;HHLM;de:03154:3261;Helmstedt;11,010553;52,222086;DB Station und Service AG
8000160;THT;de:08437:44001;Herbertingen;9,414604;48,063945;DB Station und Service AG
8000161;FHRB;de:06532:11007;Herborn(Dillkr);8,30814;50,684405;DB Station und Service AG
8000162;EHFD;de:05758:1380;Herford;8,663643;52,119609;DB Station und Service AG
8000163;TTU;de:08327:1748;Tuttlingen;8,798542;47,980579;DB Station und Service AG
8000164;EHER;de:05916:7501;Herne;7,21783;51,543652;DB Station und Service AG
8000165;EHDT;de:05562:3217;Hervest-Dorsten;6,974167;51,67191;DB Station und Service AG
